model,MAE_mean,MAE_sd,MAE_cv,MdAPE_mean,MdAPE_sd,MdAPE_cv,RMSElog_mean,RMSElog_sd,RMSElog_cv
ElasticNet,16637.90966784294,3430.671873481961,20.61960872472232,6.395997229741786,0.6205446441579394,9.702078063329484,0.13470958946027287,0.03963474309518731,29.422362026332195
ExtraTrees,16086.685422787195,1872.466614260988,11.639853487832811,6.049554199861387,0.45580687356211064,7.534553100996345,0.1315269657339977,0.02098308357648014,15.95344609326477
RandomForest,16228.577412100658,1790.157596269852,11.03089661411136,5.860783068147343,0.5687465293527928,9.704275396983423,0.1331153255277849,0.023803846516373135,17.882123205569297
Ridge,16591.306886367624,3393.0769897857203,20.450932606000247,6.4012429254596315,0.44914446790718265,7.0165196530942815,0.13505116208812357,0.040201288538221025,29.767451028661927
